Scenario, Bench, Heap size, Direct Mem, # Threads, Final Size, Throughput, gc

put-only-computeifpresent, OakMap, 12g, 20g, 01, 1.1487793E7, 0.10240184618997773
put-only-computeifpresent, OakMap, 12g, 20g, 04, 1.4304912E7, 0.3576171852538444
put-only-computeifpresent, OakMap, 12g, 20g, 08, 1.6658878333333334E7, 0.6931123957925075
put-only-computeifpresent, OakMap, 12g, 20g, 12, 1.7365856E7, 0.8470630212620138

put-only-computeifpresent, JavaSkipListMap, 32g, 20g, 01, 1.1052007333333334E7, 0.07068353916604474
put-only-computeifpresent, JavaSkipListMap, 32g, 20g, 04, 1.3239429E7, 0.24982669031904484
put-only-computeifpresent, JavaSkipListMap, 32g, 20g, 08, 1.4769011E7, 0.4139187236879365
put-only-computeifpresent, JavaSkipListMap, 32g, 20g, 12, 1.5431916666666666E7, 0.47331856822308754

put-only-computeifpresent, YoniList2, 12g, 20g, 01, 1.0995297E7, 0.06674581535960734
put-only-computeifpresent, YoniList2, 12g, 20g, 04, 1.3451380333333334E7, 0.2693064641574687
put-only-computeifpresent, YoniList2, 12g, 20g, 08, 1.4953286333333334E7, 0.4363426471102025
put-only-computeifpresent, YoniList2, 12g, 20g, 12, 1.6098675333333334E7, 0.5864259505922323

get-only, OakMap, 12g, 20g, 01, 1.0E7, 0.08814529729642641
get-only, OakMap, 12g, 20g, 04, 1.0E7, 0.46730295299086766
get-only, OakMap, 12g, 20g, 08, 1.0E7, 0.9283288813912671
get-only, OakMap, 12g, 20g, 12, 1.0E7, 1.376437611189805

get-only, JavaSkipListMap, 32g, 20g, 01, 1.0E7, 0.09310617446899415
get-only, JavaSkipListMap, 32g, 20g, 04, 1.0E7, 0.4096734304640952
get-only, JavaSkipListMap, 32g, 20g, 08, 1.0E7, 0.81423429444795
get-only, JavaSkipListMap, 32g, 20g, 12, 1.0E7, 1.1863290851338404



put-only, OakMap, 12g, 20g, 01, 1.1482977E7, 0.10209035873413086
put-only, OakMap, 12g, 20g, 04, 1.4026644666666666E7, 0.32870748282186163
put-only, OakMap, 12g, 20g, 08, 1.6523885666666666E7, 0.6720145972541176
put-only, OakMap, 12g, 20g, 12, 1.7140735E7, 0.766221043916255

put-only, JavaSkipListMap, 32g, 20g, 01, 1.1137608666666666E7, 0.07676888617372761
put-only, JavaSkipListMap, 32g, 20g, 04, 1.3273492E7, 0.2522664646394382
put-only, JavaSkipListMap, 32g, 20g, 08, 1.4265773666666666E7, 0.3535022623579507
put-only, JavaSkipListMap, 32g, 20g, 12, 1.4991546333333334E7, 0.4289523342406844

put-only, YoniList2, 12g, 20g, 01, 1.1181129333333334E7, 0.07992133948719495
put-only, YoniList2, 12g, 20g, 04, 1.3283677666666666E7, 0.25309898844892453
put-only, YoniList2, 12g, 20g, 08, 1.4693407666666666E7, 0.40510061369912975
put-only, YoniList2, 12g, 20g, 12, 1.5989944E7, 0.5868594951109599

zc-get-only, OakMap, 12g, 20g, 01, 1.0E7, 0.1693550904897397
zc-get-only, OakMap, 12g, 20g, 04, 1.0E7, 0.7295468335056149
zc-get-only, OakMap, 12g, 20g, 08, 1.0E7, 1.3939514505650379
zc-get-only, OakMap, 12g, 20g, 12, 1.0E7, 1.9022686189609648

zc-get-only, JavaSkipListMap, 32g, 20g, 01, 1.0E7, 0.0824103807384825
zc-get-only, JavaSkipListMap, 32g, 20g, 04, 1.0E7, 0.41872119709657135
zc-get-only, JavaSkipListMap, 32g, 20g, 08, 1.0E7, 0.8112777544796691
zc-get-only, JavaSkipListMap, 32g, 20g, 12, 1.0E7, 1.2151103156593803

zc-get-only, YoniList2, 12g, 20g, 01, 1.0E7, 0.08433212643484088
zc-get-only, YoniList2, 12g, 20g, 04, 1.0E7, 0.3728479868933194
zc-get-only, YoniList2, 12g, 20g, 08, 1.0E7, 0.698936837536987
